X;Y;Z;idstation;nom;adresse1;adresse2;commune;numdansarr;nbbornette;stationbon;pole;ouverte;achevement;gid;code_insee
4.83463639280925;45.7579625159131;0;2001;Bellecour / République;Place Le Viste;angle rue des Maronniers;Lyon 2 ème;1;18;Non;métro A D, site, commerces;Oui;;136;69382
4.85251059124107;45.7607767054813;0;3015;Servient / Garibaldi;Servient;Angle rue Garibaldi;Lyon 3 ème;15;17;Non;tram, cité administrative;Oui;;137;69383
4.83293380868471;45.7668055276884;0;1020;Terreaux / Chenavard;11, Rue Chenavard;Côté place des Terreaux;Lyon 1 er;20;18;Non;Place des Terreaux;Oui;;138;69381
4.82926950532075;45.7700015740911;0;1034;Carmélites;Montée des Carmélites;;Lyon 1 er;34;16;Non;;Oui;;139;69381
4.88537719793287;45.741423112713;0;3024;Rockfeller / Esquirol;Avenue Rockefeller;Intersection Rockfeller/Esquirol;Lyon 3 ème;24;19;Non;tram, école d'infirmière, itinéraire cyclable;Oui;;140;69383
4.80096231123926;45.7575651628799;0;5016;Mairie du 5e;Face 15, Rue Docteur Locard;devant la mairie du 5ème;Lyon 5 ème;16;13;Oui;mairie;Oui;;141;69385
4.87863205916919;45.7332373891914;0;8024;Mermoz / Michelet;Avenue Mermoz;angle avenue Michelet;Lyon 8 ème;24;9;Non;Cité des Entreprises, itinéraire cyclable;Oui;;142;69388
4.83213506219083;45.7677346863699;0;1001;Terreaux / Terme;Rue Terme;Angle rue d'Algérie;Lyon 1 er;1;16;Non;;Oui;;143;69381
4.80035245952592;45.7734583979462;0;9020;Bourbonnais;41, Rue du Bourbonnais;angle rue Horand/rue Masset;Lyon 9 ème;20;12;Non;maillage;Oui;;144;69389
4.88431892911373;45.7648217045186;0;10064;4 août 1789;Rue du 4 août 1789;Angle rue Rollet / Blanqui;VILLEURBANNE;64;10;Non;iti. Cyclable, associations sportives;Oui;;145;69266
4.86711492199288;45.7764535731413;0;10055;Condorcet / Galline;Avenue Galline;Angle avenue de Condorcet;VILLEURBANNE;55;15;Non;maillage (habitat dense);Oui;;146;69266
4.82763044255335;45.7796855001293;0;4004;Hénon;Boulevard des Canuts;angle rue Hénon;Lyon 4 ème;4;22;Oui;métro C, itinéraire cyclable;Oui;;147;69384
4.88424151324261;45.7688763179067;0;10059;Anatole France / Zola;Anatole France;Angle Zola / France / Lherminier;VILLEURBANNE;59;13;Non;stade de la Viabert, Carrefour, iti. Cyclable;Oui;;148;69266
4.87897574568985;45.7587882609002;0;10060;Saint Exupéry;Avenue Antoine de Saint-Exupéry fac;entre rue Richelieu et rue Florian;VILLEURBANNE;60;15;Non;Commerces, marché, centre de quartier;Oui;;149;69266
4.85236527150248;45.7696721806905;0;6007;Masséna;Rue Tête d'Or;angle cours Vitton;Lyon 6 ème;7;20;Non;métro A;Oui;;150;69386
4.86735270326526;45.7539660350662;0;3043;Place Rouget de L'Isle;Place Rouget de l'Isle;avenue Lacassagne;Lyon 3 ème;43;16;Non;maillage;Oui;;151;69383
4.87734642987402;45.7559510292356;0;10024;Maisons Neuves;Place des Maisons Neuves;Côté rue Jean Jaurès;VILLEURBANNE;24;13;Non;centre quartier, itinéraire cyclable;Oui;;152;69266
4.87602199223534;45.7495469577436;0;3086;Feuillat / Lacassagne;115 avenue Lacassagne;;Lyon 3 ème;86;16;Non;Maillage, stade;Oui;;153;69383
4.89886566289764;45.7529723995868;0;10041;Kimmerling;41 rouet de Genas;;VILLEURBANNE;41;16;Non;Maillage, espace public;Oui;;154;69266
4.83765826123897;45.7696044219961;0;1022;Place Tolozan;Place Tolozan;Angle nord-est de la place;Lyon 1 er;22;30;Non;Opéra, Métro A, métro C, mairie centrale;Oui;;155;69381
4.82984412575203;45.7492533954914;0;2039;Charité / Récamier;86 rue de la Charité;;Lyon 2 ème;39;17;Non;Lycée, tramway, commerces;Oui;;156;69382
4.83639168535633;45.7672004172203;0;1032;Pizay;17 rue Pizay;;Lyon 1 er;32;22;Non;;Oui;;157;69381
4.82492586318928;45.7479214794689;0;2037;Place des Archives;18 rue Dugas montbel;;Lyon 2 ème;37;30;Non;;Oui;;158;69382
4.86528578303152;45.7472487338215;0;8035;Sans Souci;Rue Edouard Rochet;;Lyon 8 ème;35;20;Non;Métro D, Institut Lumière, Place des frères Lumière;Oui;;159;69388
